date,campaign_name,channel,impressions,clicks,conversions,revenue,ad_spend,reach,ctr,conversion_rate
2024-01-01,Growth Campaign A,Google Ads,15000,825,82,4920,1200,12000,5.5,9.94
2024-01-01,Growth Campaign B,Facebook,12000,480,38,2052,950,10000,4.0,7.92
2024-01-01,Holiday Promotion,Instagram,8000,320,22,1540,600,6500,4.0,6.88
2024-01-01,Brand Awareness,Google Ads,20000,600,36,1800,1500,16000,3.0,6.0
2024-01-01,Retargeting Campaign,Facebook,5000,425,64,3840,700,4500,8.5,15.06
2024-01-01,Email Blast,Email,3000,180,45,3150,200,2800,6.0,25.0
2024-01-02,Growth Campaign A,Google Ads,16200,864,95,5700,1250,12800,5.33,11.0
2024-01-02,Growth Campaign B,Facebook,13000,520,42,2268,1000,10800,4.0,8.08
2024-01-02,Holiday Promotion,Instagram,8500,340,25,1750,650,6800,4.0,7.35
2024-01-02,Brand Awareness,Google Ads,19500,585,33,1650,1450,15600,3.0,5.64
2024-01-02,Retargeting Campaign,Facebook,5200,468,72,4320,750,4700,9.0,15.38
2024-01-02,Email Blast,Email,3100,186,48,3360,210,2900,6.0,25.81
2024-01-03,Growth Campaign A,Google Ads,14800,807,78,4680,1180,11900,5.45,9.66
2024-01-03,Growth Campaign B,Facebook,11500,460,36,1944,920,9500,4.0,7.83
2024-01-03,Holiday Promotion,Instagram,7800,312,20,1400,580,6300,4.0,6.41
2024-01-03,Brand Awareness,Google Ads,21000,630,42,2100,1550,16800,3.0,6.67
2024-01-03,Retargeting Campaign,Facebook,5500,495,75,4500,800,5000,9.0,15.15
2024-01-03,Email Blast,Email,2900,174,43,3010,190,2700,6.0,24.71
2024-01-04,Growth Campaign A,Google Ads,17000,935,105,6300,1300,13600,5.5,11.23
2024-01-04,Growth Campaign B,Facebook,14000,560,45,2430,1050,11600,4.0,8.04
2024-01-04,Holiday Promotion,Instagram,9200,368,28,1960,700,7400,4.0,7.61
2024-01-04,Brand Awareness,Google Ads,20000,600,36,1800,1500,16000,3.0,6.0
2024-01-04,Retargeting Campaign,Facebook,5800,522,78,4680,850,5300,9.0,14.94
2024-01-04,Email Blast,Email,3200,192,50,3500,220,3000,6.0,26.04
2024-01-05,Growth Campaign A,Google Ads,15500,852,85,5100,1220,12400,5.5,9.97
2024-01-05,Growth Campaign B,Facebook,12500,500,40,2160,980,10400,4.0,8.0
2024-01-05,Holiday Promotion,Instagram,8300,332,23,1610,630,6700,4.0,6.93
2024-01-05,Brand Awareness,Google Ads,19000,570,34,1700,1450,15200,3.0,5.96
2024-01-05,Retargeting Campaign,Facebook,5400,486,73,4380,780,4900,9.0,15.02
2024-01-05,Email Blast,Email,3050,183,46,3220,200,2850,6.0,25.14
2024-01-06,Growth Campaign A,Google Ads,16800,924,92,5520,1280,13400,5.5,9.96
2024-01-06,Growth Campaign B,Facebook,13500,540,43,2322,1020,11200,4.0,7.96
2024-01-06,Holiday Promotion,Instagram,8800,352,26,1820,680,7100,4.0,7.39
2024-01-06,Brand Awareness,Google Ads,21000,630,42,2100,1550,16800,3.0,6.67
2024-01-06,Retargeting Campaign,Facebook,5600,504,76,4560,820,5100,9.0,15.08
2024-01-06,Email Blast,Email,3150,189,48,3360,210,2950,6.0,25.4
2024-01-07,Growth Campaign A,Google Ads,15200,836,83,4980,1200,12200,5.5,9.93
2024-01-07,Growth Campaign B,Facebook,12000,480,38,2052,950,10000,4.0,7.92
2024-01-07,Holiday Promotion,Instagram,8000,320,22,1540,600,6500,4.0,6.88
2024-01-07,Brand Awareness,Google Ads,20000,600,36,1800,1500,16000,3.0,6.0
2024-01-07,Retargeting Campaign,Facebook,5000,450,68,4080,700,4500,9.0,15.11
2024-01-07,Email Blast,Email,3000,180,45,3150,200,2800,6.0,25.0
2024-01-08,Growth Campaign A,Google Ads,17500,962,96,5760,1320,14000,5.5,9.98
2024-01-08,Growth Campaign B,Facebook,14500,580,47,2538,1080,12000,4.0,8.1
2024-01-08,Holiday Promotion,Instagram,9500,380,29,2030,740,7700,4.0,7.63
2024-01-08,Brand Awareness,Google Ads,20500,615,37,1850,1550,16400,3.0,6.02
2024-01-08,Retargeting Campaign,Facebook,5900,531,80,4800,880,5400,9.0,15.07
2024-01-08,Email Blast,Email,3300,198,50,3500,220,3100,6.0,25.25
2024-01-09,Growth Campaign A,Google Ads,16000,880,88,5280,1260,12800,5.5,10.0
2024-01-09,Growth Campaign B,Facebook,13000,520,42,2268,1000,10800,4.0,8.08
2024-01-09,Holiday Promotion,Instagram,8500,340,25,1750,650,6800,4.0,7.35
2024-01-09,Brand Awareness,Google Ads,19500,585,33,1650,1450,15600,3.0,5.64
2024-01-09,Retargeting Campaign,Facebook,5200,468,71,4260,750,4700,9.0,15.17
2024-01-09,Email Blast,Email,3100,186,48,3360,210,2900,6.0,25.81
